issuer_code,fund_name
0000D,미래에셋 TIGER NVDA-UST커버드콜증권상장지수투자신탁(채권혼합-파생재간접형)(합성)
0000H,삼성 KODEX 인도Nifty미드캡100증권상장지수투자신탁[주식-파생형]
0000J,한화 PLUS 한화그룹주증권상장지수투자신탁(주식)
0000Y,흥국 HK 26-12 회사채(AA-이상)액티브증권상장지수투자신탁[채권]
0000Z,KB RISE 바이오TOP10액티브증권상장지수투자신탁(주식)
0001P,DB 마이티 바이오시밀러&CDMO액티브증권상장지수투자신탁[주식]
0001S,미래에셋 TIGER 26-04 회사채(A+이상)액티브증권상장지수투자신탁(채권)
0002C,에셋플러스 에셋플러스 인도일등기업포커스20액티브증권상장지수투자신탁(주식)
0004G,하나 1Q 미국배당TOP30증권상장지수투자신탁(주식)
0005A,삼성 KODEX 미국S&P500데일리커버드콜OTM증권상장지수투자신탁[주식-파생형]
0005C,KB RISE 미국S&P500엔화노출증권상장지수투자신탁(주식-파생형)(합성 H)
0005D,신한 SOL 전고체배터리&실리콘음극재증권상장지수투자신탁[주식]
0005G,IBK ITF K-AI반도체 코어테크 증권상장지수투자신탁[주식]
0007F,삼성 KODEX 27-12 회사채(AA-이상)액티브증권상장지수투자신탁[채권]
0007G,한화 PLUS 글로벌원자력밸류체인증권상장지수투자신탁(주식)
0007N,iM에셋 아이엠에셋 200증권상장지수투자신탁(주식)
0008E,한국투자 ACE 미국중심중소형제조업증권상장지수투자신탁(주식)
0008S,미래에셋 TIGER 미국배당다우존스타겟데일리커버드콜증권상장지수투자신탁(주식)
0008T,신한 SOL 화장품TOP3플러스증권상장지수투자신탁[주식]
0010E,한국투자 ACE FTSE WGBI Korea증권상장지수투자신탁(채권)
0013P,KB RISE 미국은행TOP10증권상장지수투자신탁(주식)
0013R,KB RISE TSLA-UST타겟커버드콜증권상장지수투자신탁(채권혼합-파생재간접형)(합성)
0015B,삼성액티브 KoAct 미국나스닥성장기업액티브증권상장지수투자신탁[주식]
0015E,키움 KIWOOM 엔비디아미국30년국채혼합액티브증권상장지수투자신탁[채권혼합](H)
0015F,키움 KIWOOM 팔란티어미국30년국채혼합액티브증권상장지수투자신탁[채권혼합](H)
0015K,미래에셋 TIGER 미국소비트렌드액티브증권상장지수투자신탁(주식)
0016X,신한 SOL 중단기회사채(A-이상)액티브증권상장지수투자신탁[채권]
0017Y,하나 1Q 종합채권(AA-이상)액티브증권상장지수투자신탁[채권]
0018C,한화 PLUS 고배당주위클리고정커버드콜증권상장지수투자신탁(주식-파생형)
0018Z,KB RISE 미국양자컴퓨팅증권상장지수투자신탁(주식)
0019K,타임폴리오 TIME 미국나스닥100채권혼합50액티브증권상장지수투자신탁(채권혼합)
0020H,삼성액티브 KoAct 글로벌양자컴퓨팅액티브증권상장지수투자신탁[주식]
0021C,한국투자 ACE TDF장기자산배분액티브증권상장지수투자신탁(주식혼합-재간접형)
0021D,한국투자 ACE 적격TDF2030액티브증권상장지수투자신탁(주식혼합-재간접형)
0021E,한국투자 ACE 적격TDF2050액티브증권상장지수투자신탁(주식혼합-재간접형)
0022T,신한 SOL 국제금커버드콜액티브특별자산상장지수투자신탁[금-파생재간접형]
0023A,신한 SOL 미국양자컴퓨팅TOP10증권상장지수투자신탁[주식]
0023B,한화 PLUS 미국양자컴퓨팅TOP10증권상장지수투자신탁(주식)
0025N,미래에셋 TIGER 적격TDF2045증권상장지수투자신탁(주식혼합)
0026E,삼성 KODEX 미국S&P500버퍼3월액티브증권상장지수투자신탁[주식-파생형]
0026S,하나 1Q 미국S&P500증권상장지수투자신탁(주식)
0028X,삼성 KODEX 미국금융테크액티브증권상장지수투자신탁[주식]
0035T,한화 PLUS 글로벌휴머노이드로봇액티브증권상장지수투자신탁(주식)
0036D,타임폴리오 TIME 미국배당다우존스액티브증권상장지수투자신탁(주식)
0036R,KB RISE 미국휴머노이드로봇증권상장지수투자신탁(주식)
0036Z,KB RISE 미국천연가스밸류체인증권상장지수투자신탁(주식)
0038A,삼성 KODEX 미국휴머노이드로봇증권상장지수투자신탁[주식]
0040S,NH-Amundi HANARO 글로벌피지컬AI액티브증권상장지수투자신탁(주식)
0040X,신한 SOL 팔란티어미국채커버드콜혼합증권상장지수투자신탁[채권혼합-파생재간접형]
0040Y,신한 SOL 팔란티어커버드콜OTM채권혼합증권상장지수투자신탁[채권혼합-파생형]
0041D,삼성 KODEX 미국AI소프트웨어TOP10증권상장지수투자신탁[주식]
0041E,삼성 KODEX 미국S&P500액티브증권상장지수투자신탁[주식]
0043B,미래에셋 TIGER 머니마켓액티브증권상장지수투자신탁(채권)
0043Y,타임폴리오 TIME 차이나AI테크액티브증권상장지수투자신탁(주식)
0046A,미래에셋 TIGER 미국초단기(3개월이하)국채증권상장지수투자신탁(채권-재간접형)
0046Y,한국투자 ACE 미국배당퀄리티증권상장지수투자신탁(주식)
0047A,미래에셋 TIGER 차이나테크TOP10증권상장지수투자신탁(주식)
0047N,한화 PLUS 차이나AI테크TOP10증권상장지수투자신탁(주식)
0047P,KB RISE 테슬라고정테크100증권상장지수투자신탁(주식)
0047R,KB RISE 팔란티어고정테크100증권상장지수투자신탁(주식)
0048J,삼성 KODEX 미국머니마켓액티브증권상장지수투자신탁[채권]
0048K,삼성 KODEX 차이나휴머노이드로봇증권상장지수투자신탁[주식]
0049K,한국투자 ACE 미국배당퀄리티채권혼합50증권상장지수투자신탁(채권혼합)
0049M,한국투자 ACE 미국배당퀄리티+커버드콜액티브증권상장지수투자신탁(주식-재간접형)
0050E,한화 PLUS 미국AI에이전트증권상장지수투자신탁(주식)
0051A,삼성액티브 KoAct 브로드컴밸류체인액티브증권상장지수투자신탁[주식]
0051G,신한 SOL 미국원자력SMR증권상장지수투자신탁[주식]
0052D,미래에셋 TIGER 코리아배당다우존스증권상장지수투자신탁(주식)
0052S,하나 1Q 미국S&P500미국채혼합50액티브증권상장지수투자신탁(채권혼합)
0052T,하나 1Q 중단기회사채(A-이상)액티브증권상장지수투자신탁(채권)
0053L,미래에셋 TIGER 차이나휴머노이드로봇증권상장지수투자신탁(주식)
0053M,더제이 더제이 중소형포커스액티브증권상장지수투자신탁[주식]
0057H,한화 PLUS 미국S&P500미국채혼합50액티브증권상장지수투자신탁(채권혼합-재간접형)
0060H,미래에셋 TIGER 토탈월드스탁액티브증권상장지수투자신탁(주식)
0061Z,KB RISE 단기특수은행채액티브증권상장지수투자신탁(채권)
0064K,삼성 KODEX 금액티브특별자산상장지수투자신탁[금-파생재간접형]
0065G,삼성 KODEX 차이나테크TOP10증권상장지수투자신탁[주식]
0066W,신한 SOL 국제금특별자산상장지수투자신탁[금-재간접형]
0067V,미래에셋 TIGER 차이나글로벌리더스TOP3+증권상장지수투자신탁(주식)
0067Y,미래에셋 TIGER 차이나AI소프트웨어증권상장지수투자신탁(주식)
0068M,삼성 KODEX 미국S&P500버퍼6월액티브증권상장지수투자신탁[주식-파생형]
0069M,하나 1Q 미국나스닥100증권상장지수투자신탁(주식)
0072R,미래에셋 TIGER KRX금현물특별자산상장지수투자신탁(금)
0073X,브이아이 FOCUS BABA-UST커버드콜혼합증권상장지수투자신탁[채권혼합-파생재간접형]
0074K,삼성액티브 KoAct K수출핵심기업TOP30액티브증권상장지수투자신탁[주식]
0078V,한화 PLUS 미국로보택시증권상장지수투자신탁(주식)
0079X,한국투자 ACE BYD밸류체인액티브증권상장지수투자신탁(주식)
0080G,삼성 KODEX 방산TOP10증권상장지수투자신탁[주식]
0080X,신한 SOL 미국S&P500미국채혼합50증권상장지수투자신탁[채권혼합]
0080Y,신한 SOL 조선TOP3플러스레버리지증권상장지수투자신탁[주식-파생형]
0082F,NH-Amundi HANARO 유럽방산증권상장지수투자신탁(주식)
0082V,삼성 KODEX 적격 TDF2060액티브증권상장지수투자신탁[주식혼합-재간접형]
0083S,하나 1Q 미국메디컬AI증권상장지수투자신탁(주식)
0084D,키움 KIWOOM US테크100월간목표헤지액티브증권상장지수투자신탁[혼합-파생재간접형]
0084E,키움 KIWOOM US대형500월간목표헤지액티브증권상장지수투자신탁[혼합-파생재간접형]
0085N,한국투자 ACE 미국10년국채액티브증권상장지수투자신탁(채권)(H)
0085P,한국투자 ACE 미국10년국채액티브증권상장지수투자신탁(채권)
0086B,미래에셋 TIGER 리츠부동산인프라TOP10액티브부동산상장지수투자신탁(재간접형)
0086C,미래에셋 TIGER 리츠인프라10채권액티브증권상장지수투자신탁(채권혼합-재간접형)
0087F,한국투자 ACE 차이나AI빅테크TOP2+액티브증권상장지수투자신탁(주식)
0088N,우리 WON K-글로벌수급상위증권상장지수투자신탁(주식)
0089B,한화 PLUS 미국나스닥100미국채혼합50증권상장지수투자신탁(채권혼합)
0089C,삼성 KODEX 미국S&P500변동성확대시커버드콜증권상장지수투자신탁[주식-파생형]
0089D,삼성 KODEX 금융고배당TOP10증권상장지수투자신탁[주식]
0090B,한화 PLUS K방산소부장증권상장지수투자신탁(주식)
0091C,삼성 KODEX 미국10년국채액티브증권상장지수투자신탁[채권-재간접형](H)
0091M,NH-Amundi HANARO 27-06 회사채(AA-이상)액티브증권상장지수투자신탁(채권)
0091P,미래에셋 TIGER 코리아원자력증권상장지수투자신탁(주식)
0092B,신한 SOL 한국원자력SMR증권상장지수투자신탁[주식]
0092C,신한 SOL 27-12 회사채(AA-이상)액티브증권상장지수투자신탁[채권]
0093A,KB RISE AI반도체TOP10증권상장지수투자신탁(주식)
0093B,KB RISE 엔비디아고정테크100증권상장지수투자신탁(주식)
0093D,삼성액티브 KoAct 팔란티어밸류체인액티브증권상장지수투자신탁[주식]
0094K,미래에셋 TIGER 28-04 회사채(A+이상)액티브증권상장지수투자신탁(채권)
0094L,KB RISE 차이나테크TOP10위클리타겟커버드콜증권상장지수투자신탁(주식-파생형)
0094M,KB RISE 코리아밸류업위클리고정커버드콜증권상장지수투자신탁(주식-파생형)
0094X,하나 1Q 샤오미밸류체인액티브증권상장지수투자신탁(주식)
0097L,키움 KIWOOM 한국고배당&미국AI테크증권상장지수투자신탁[주식]
0098F,삼성 KODEX 원자력SMR증권상장지수투자신탁[주식]
0098N,한화 PLUS 자사주매입고배당주증권상장지수투자신탁(주식)
0098Z,브이아이 FOCUS 200 증권상장지수투자신탁[주식]
0099L,한국투자 ACE 우량회사채(AA-이상)액티브증권상장지수투자신탁(채권)
0100K,삼성 KODEX 방산TOP10레버리지증권상장지수투자신탁[주식-파생형]
0101N,KB RISE AI전력인프라증권상장지수투자신탁(주식)
0102A,미래에셋 TIGER 미국AI소프트웨어TOP4Plus증권상장지수투자신탁(주식)
0102X,한국투자 ACE 유럽방산TOP10증권상장지수투자신탁(주식)
0103T,하나 1Q K소버린AI증권상장지수투자신탁(주식)
0104G,한화 PLUS K방산레버리지증권상장지수투자신탁(주식-파생형)
0104H,삼성액티브 KoAct 미국나스닥채권혼합50액티브증권상장지수투자신탁[채권혼합]
0104N,미래에셋 TIGER 200타겟위클리커버드콜증권상장지수투자신탁(주식)
0104P,미래에셋 TIGER 코리아배당다우존스위클리커버드콜증권상장지수투자신탁(주식-파생형)
0105D,신한 SOL 한국AI소프트웨어증권상장지수투자신탁[주식]
0105E,신한 SOL 코리아고배당증권상장지수투자신탁[주식]
0107F,키움 KIWOOM 미국고배당&AI테크증권상장지수투자신탁[주식]
0111J,NH-Amundi HANARO 증권고배당TOP3플러스증권상장지수투자신탁[주식]
0111P,하나 1Q 미국나스닥100미국채혼합50액티브증권상장지수투자신탁(채권혼합)
0112X,DB 마이티 200 Total Return증권상장지수투자신탁[주식]
0113D,타임폴리오 TIME 글로벌탑픽액티브증권상장지수투자신탁(주식-재간접형)
0113G,삼성액티브 KoAct 미국바이오헬스케어액티브증권상장지수투자신탁[주식]
0113P,흥국 HK 머니마켓액티브증권상장지수투자신탁[채권]
0114X,KB RISE 글로벌게임테크TOP3Plus증권상장지수투자신탁(주식)
0115C,KB RISE 미국고배당다우존스TOP10증권상장지수투자신탁(주식)
0115D,삼성 KODEX 조선TOP10증권상장지수투자신탁[주식]
0115E,삼성 KODEX 코리아소버린AI증권상장지수투자신탁[주식]
0117L,삼성 KODEX 26-12 금융채(AA-이상)액티브증권상장지수투자신탁[채권]
0117V,미래에셋 TIGER 코리아AI전력기기TOP3플러스증권상장지수투자신탁(주식)
0118S,신한 SOL 미국넥스트테크TOP10액티브증권상장지수투자신탁[주식]
0118Z,한국투자 ACE 미국AI테크핵심산업액티브증권상장지수투자신탁(주식)
0119H,삼성 KODEX 28-12 회사채(AA-이상)액티브증권상장지수투자신탁[채권]
0120J,BNK BNK 카카오그룹포커스증권상장지수투자신탁(주식)
0122W,KB RISE 26-11 회사채(AA-이상)액티브증권상장지수투자신탁(채권)
0123G,미래에셋 TIGER 미국AI전력SMR증권상장지수투자신탁(주식)
0123S,NH-Amundi HANARO 26-12 은행채(AA+이상)액티브증권상장지수투자신탁(채권)
0127M,한국투자 ACE 미국대형가치주액티브증권상장지수투자신탁(주식)
0127P,한국투자 ACE 미국대형성장주액티브증권상장지수투자신탁(주식)
0127R,KB RISE 미국AI클라우드인프라증권상장지수투자신탁(주식)
0127T,키움 KIWOOM 미국S&P500&배당다우존스비중전환증권상장지수투자신탁[주식]
0127V,키움 KIWOOM 미국S&P500 TOP10&배당다우존스비중전환증권상장지수투자신탁[주식]
0128D,한화 PLUS 차이나항셍테크위클리타겟커버드콜증권상장지수투자신탁(주식-파생형)
0131A,신한 SOL 차이나소비트렌드증권상장지수투자신탁[주식]
0131V,하나 1Q 미국우주항공테크증권상장지수투자신탁(주식)
0131W,하나 1Q 단기특수은행채액티브증권상장지수투자신탁[채권]
0132D,삼성액티브 KoAct 글로벌K컬처밸류체인액티브증권상장지수투자신탁[주식]
0132H,삼성 KODEX 미국원자력SMR증권상장지수투자신탁[주식]
0132K,한화 PLUS 테슬라위클리커버드콜채권혼합증권상장지수투자신탁(채권혼합-파생형)
0133E,미래에셋 TIGER 차이나증권증권상장지수투자신탁(주식)
0135Y,IBK ITF 중기종합채권(AA-이상)액티브증권상장지수투자신탁[채권]
0137V,키움 KIWOOM 미국S&P500모멘텀증권상장지수투자신탁[주식]
0137W,키움 KIWOOM 미국S&P500&GOLD증권상장지수투자신탁[주식]
0138D,KB RISE 동학개미증권상장지수투자신탁(주식)
0138T,KB RISE 미국S&P500데일리고정커버드콜증권상장지수투자신탁(주식-파생형)
0138Y,한화 PLUS 금채권혼합증권상장지수투자신탁(채권혼합-재간접형)
0139F,미래에셋 TIGER 12월만기자동연장금융채(AA-이상)액티브증권상장지수투자신탁(채권)
0139P,한국투자 ACE 고배당주증권상장지수투자신탁(주식)
0141S,신한 SOL 조선기자재증권상장지수투자신탁[주식]
0141T,신한 SOL 중기종합채권(AA-이상)액티브증권상장지수투자신탁[채권]
0142D,미래에셋 TIGER 미국AI데이터센터TOP4Plus증권상장지수투자신탁(주식)
0144L,삼성 KODEX 미국성장커버드콜액티브증권상장지수투자신탁[주식-파생형]
0144M,삼성 KODEX 미국드론UAM TOP10증권상장지수투자신탁[주식]
0148J,미래에셋 TIGER 코리아휴머노이드로봇산업증권상장지수투자신탁(주식)
0150K,삼성액티브 KoAct 수소전력ESS인프라액티브증권상장지수투자신탁[주식]
0151P,KB RISE 코리아전략산업액티브증권상장지수투자신탁(주식)
0151S,삼성 KODEX 미국AI반도체TOP3플러스증권상장지수투자신탁[주식]
0152E,신한 SOL 배당성향탑픽액티브증권상장지수투자신탁[주식]
0153K,삼성 KODEX 주주환원고배당주증권상장지수투자신탁[주식]
0153P,한국투자 ACE 리츠부동산인프라액티브부동산상장지수투자신탁(재간접형)
0153X,한화 PLUS 미국고배당주액티브증권상장지수투자신탁(주식)
0154F,우리 WON 초대형IB&금융지주증권상장지수투자신탁(주식)
0154H,삼성액티브 KoAct 차이나바이오헬스케어액티브증권상장지수투자신탁[주식]
0155M,한국투자 ACE 미국SMR원자력TOP10증권상장지수투자신탁(주식)
0155N,NH-Amundi HANARO K휴머노이드테마TOP10증권상장지수투자신탁[주식]
0157P,NH-Amundi HANARO 차이나AI반도체TOP3+증권상장지수투자신탁(주식)
0162L,삼성 KODEX 차이나AI반도체TOP10증권상장지수투자신탁[주식]
0162M,삼성 KODEX 금융채1~2년(AA-이상)PLUS액티브증권상장지수투자신탁[채권]
0162Y,타임폴리오 TIME 코스닥액티브증권상장지수투자신탁[주식]
0162Z,KB RISE 삼성전자SK하이닉스채권혼합50증권상장지수투자신탁(채권혼합)
0163Y,삼성액티브 KoAct 코스닥액티브증권상장지수투자신탁[주식]
0164G,KB RISE 차이나AI반도체TOP4Plus증권상장지수투자신탁(주식)
0166N,한화 PLUS 코스닥150액티브증권상장지수투자신탁(주식)
0166S,한화 PLUS K제조업핵심기업액티브증권상장지수투자신탁(주식)
0166T,한화 PLUS 글로벌저작권핵심기업액티브증권상장지수투자신탁(주식)
0167A,신한 SOL AI반도체TOP2플러스증권상장지수투자신탁[주식]
0167B,신한 SOL 200타겟위클리커버드콜증권상장지수투자신탁[주식-파생형]
0167Z,삼성 KODEX 미국우주항공증권상장지수투자신탁[주식]
0168K,미래에셋 TIGER 기술이전바이오액티브증권상장지수투자신탁(주식)
0172V,하나 1Q 은액티브특별자산상장지수투자신탁[은-재간접형]
0172Y,한국투자 ACE K수출핵심TOP10산업액티브증권상장지수투자신탁(주식)
0173Y,삼성 KODEX 미국AI광통신네트워크증권상장지수투자신탁[주식]
0174B,삼성액티브 KoAct 글로벌AI메모리반도체액티브증권상장지수투자신탁[주식]
0174J,대신 DAISHIN343 오피스리츠플러스부동산상장지수투자신탁[재간접형]
0174R,키움 KIWOOM 미국성장다우존스증권상장지수투자신탁[주식]
0176E,KB RISE 미국AI전력인프라액티브증권상장지수투자신탁(주식)
0176P,브이아이 FOCUS AI반도체위클리고정커버드콜증권상장지수투자신탁[주식-파생형]
0177A,우리 WON 두산그룹포커스증권상장지수투자신탁(주식)
0177N,삼성 KODEX 삼성전자SK하이닉스채권혼합50증권상장지수투자신탁[채권혼합]
0177R,미래에셋 TIGER 반도체TOP10커버드콜액티브증권상장지수투자신탁(주식-파생형)
0177X,한국투자 ACE K휴머노이드로봇산업TOP2+증권상장지수투자신탁(주식)
0178H,IBK ITF 미국AI TOP10국채혼합50 증권상장지수투자신탁[채권혼합]
0180V,한국투자 ACE 미국우주테크액티브증권상장지수투자신탁(주식)
0181B,NH-Amundi HANARO 미국AI메모리반도체TOP4+증권상장지수투자신탁(주식)
0181L,신한 SOL 미국우주항공TOP10증권상장지수투자신탁[주식]
0182R,하나 1Q K반도체TOP2+증권상장지수투자신탁(주식)
0182S,하나 1Q K반도체TOP2채권혼합50증권상장지수투자신탁(채권혼합)
0183J,미래에셋 TIGER 미국우주테크증권상장지수투자신탁(주식)
06950,삼성 KODEX 200증권상장지수투자신탁(주식)
06955,KOSPI 50 ETF상장지수투신
06960,코덱스 큐 상장지수투자신탁
06966,키움 KIWOOM 200 상장지수증권투자신탁[주식]
07235,코덱스 큐 상장지수투자신탁
07417,KODEX KODI 상장지수투자신탁
08663,삼성 KODEX KRX100 상장지수투자신탁
08680,KODEX스타 상장지수간접투자기구투자신탁
09116,삼성 KODEX 반도체증권상장지수투자신탁(주식)
09117,삼성 KODEX 은행증권상장지수투자신탁(주식)
09118,삼성 KODEX 자동차증권상장지수투자신탁(주식)
09119,우리 KOSEF Banks 상장지수증권투자신탁[주식]
09120,키움 KOSEF IT 상장지수증권투자신탁[주식]
